"Date","Price","Open","High","Low","Vol.","Change %"
"06/26/2021","0.000443","0.000446","0.000448","0.000425","670.57M","-0.57%"
"06/25/2021","0.000446","0.000449","0.000462","0.000436","984.44M","-0.65%"
"06/24/2021","0.000449","0.000446","0.000458","0.000431","975.27M","0.92%"
"06/23/2021","0.000445","0.000430","0.000445","0.000430","1.34B","3.49%"
"06/22/2021","0.000430","0.000443","0.000464","0.000394","1.44B","-2.93%"
"06/21/2021","0.000443","0.000615","0.000615","0.000443","1.32B","-28.06%"
"06/20/2021","0.000615","0.000642","0.000642","0.000579","1.36B","-4.20%"
"06/19/2021","0.000642","0.000655","0.000655","0.000632","834.59M","-1.90%"
"06/18/2021","0.000655","0.000682","0.000682","0.000644","473.32M","-3.94%"
"06/17/2021","0.000682","0.000666","0.000685","0.000662","514.35M","2.34%"
"06/16/2021","0.000666","0.000702","0.000702","0.000665","989.88M","-5.22%"
"06/15/2021","0.000703","0.000690","0.000706","0.000690","834.73M","1.79%"
"06/14/2021","0.000690","0.000708","0.000708","0.000682","1.02B","-2.61%"
"06/13/2021","0.000709","0.000663","0.000709","0.000649","1.25B","6.77%"
"06/12/2021","0.000664","0.000678","0.000678","0.000630","764.84M","-2.14%"
"06/11/2021","0.000678","0.000654","0.000706","0.000645","1.61B","3.81%"
"06/10/2021","0.000654","0.000663","0.000669","0.000651","855.16M","-1.43%"
"06/09/2021","0.000663","0.000622","0.000667","0.000622","1.95B","5.73%"
"06/08/2021","0.000627","0.000742","0.000742","0.000609","5.31B","-14.88%"
"06/07/2021","0.000737","0.000713","0.000777","0.000712","3.74B","3.53%"
"06/06/2021","0.000712","0.000701","0.000712","0.000701","631.34M","1.47%"
"06/05/2021","0.000701","0.000717","0.000730","0.000698","1.29B","-2.24%"
"06/04/2021","0.000717","0.000777","0.000777","0.000717","1.41B","-7.66%"
"06/03/2021","0.000777","0.000818","0.000818","0.000764","3.51B","-5.38%"
"06/02/2021","0.000821","0.000715","0.000821","0.000713","4.66B","14.83%"
"06/01/2021","0.000715","0.000748","0.000748","0.000715","1.29B","-4.70%"
"05/31/2021","0.000750","0.000728","0.000761","0.000703","1.86B","3.02%"
"05/30/2021","0.000728","0.000702","0.000742","0.000677","1.73B","4.18%"
"05/29/2021","0.000699","0.000772","0.000796","0.000699","1.90B","-9.49%"
"05/28/2021","0.000772","0.000831","0.000831","0.000734","1.97B","-7.54%"
"05/27/2021","0.000835","0.000893","0.000893","0.000832","2.33B","-6.46%"
"05/26/2021","0.000893","0.000883","0.000933","0.000873","2.87B","1.65%"
"05/25/2021","0.000878","0.000959","0.000959","0.000878","6.55B","-8.30%"
"05/24/2021","0.000958","0.000783","0.000958","0.000783","10.25B","21.86%"
"05/23/2021","0.000786","0.001212","0.001316","0.000718","20.76B","-34.70%"
"05/22/2021","0.001204","0.000633","0.001204","0.000550","21.14B","90.97%"
"05/21/2021","0.000630","0.000678","0.000681","0.000574","6.46B","-7.02%"
"05/20/2021","0.000678","0.000624","0.000739","0.000551","1.66B","8.57%"
"05/19/2021","0.000624","0.001076","0.001092","0.000624","2.66B","-41.97%"
"05/18/2021","0.001076","0.001076","0.001203","0.001075","1.55B","0.00%"
"05/17/2021","0.001076","0.001297","0.001297","0.001049","1.20B","-17.06%"
"05/16/2021","0.001297","0.001294","0.001397","0.001265","1.08B","0.25%"
"05/15/2021","0.001294","0.001357","0.001357","0.001264","1.04B","-4.85%"
"05/14/2021","0.001360","0.001331","0.001427","0.001315","1.09B","1.89%"
"05/13/2021","0.001334","0.001387","0.001441","0.001273","2.02B","-3.35%"
"05/12/2021","0.001381","0.001665","0.001670","0.001381","1.86B","-17.09%"
"05/11/2021","0.001665","0.001524","0.001846","0.001485","3.89B","9.30%"
"05/10/2021","0.001524","0.001887","0.001917","0.001524","2.23B","-19.27%"
"05/09/2021","0.001887","0.002016","0.002016","0.001852","1.53B","-5.92%"
"05/08/2021","0.002006","0.001982","0.002234","0.001967","2.91B","1.15%"
"05/07/2021","0.001983","0.001856","0.002207","0.001826","2.58B","6.83%"
"05/06/2021","0.001856","0.001928","0.001976","0.001831","1.79B","-3.70%"
"05/05/2021","0.001928","0.001804","0.001975","0.001788","1.74B","5.09%"
"05/04/2021","0.001834","0.002082","0.002082","0.001816","1.36B","-12.03%"
"05/03/2021","0.002085","0.002256","0.002256","0.002085","1.22B","-7.56%"
"05/02/2021","0.002256","0.002419","0.002419","0.002223","1.53B","-6.70%"
"05/01/2021","0.002418","0.002177","0.002418","0.002144","2.47B","11.06%"
"04/30/2021","0.002177","0.002091","0.002200","0.002091","1.34B","4.25%"
"04/29/2021","0.002088","0.002106","0.002106","0.001963","1.26B","-1.01%"
"04/28/2021","0.002109","0.002261","0.002280","0.002024","2.76B","-6.25%"
"04/27/2021","0.002250","0.001837","0.002250","0.001837","2.04B","21.55%"
"04/26/2021","0.001851","0.001644","0.001854","0.001644","1.32B","12.68%"
"04/25/2021","0.001643","0.001630","0.001758","0.001610","758.18M","2.36%"
"04/24/2021","0.001605","0.001800","0.001820","0.001605","1.08B","-11.49%"
"04/23/2021","0.001813","0.001959","0.001959","0.001516","2.26B","-8.38%"
"04/22/2021","0.001979","0.002034","0.002291","0.001920","2.43B","-4.19%"
"04/21/2021","0.002066","0.001957","0.002368","0.001957","3.11B","5.59%"
"04/20/2021","0.001956","0.002033","0.002083","0.001900","1.86B","-3.82%"
"04/19/2021","0.002034","0.002376","0.002376","0.002026","1.91B","-14.13%"
"04/18/2021","0.002369","0.002600","0.002600","0.002138","2.74B","-9.22%"
"04/17/2021","0.002610","0.002463","0.002795","0.002463","4.74B","6.47%"
"04/16/2021","0.002451","0.002885","0.002885","0.002451","3.32B","-15.30%"
"04/15/2021","0.002894","0.002860","0.003029","0.002841","3.89B","0.61%"
"04/14/2021","0.002876","0.003204","0.003204","0.002778","7.83B","-10.64%"
"04/13/2021","0.003219","0.002850","0.003219","0.002486","11.80B","11.70%"
"04/12/2021","0.002882","0.001878","0.003569","0.001878","21.42B","51.84%"
"04/11/2021","0.001898","0.001544","0.001898","0.001519","2.99B","23.18%"
"04/10/2021","0.001541","0.001600","0.001633","0.001541","922.07M","-3.69%"
"04/09/2021","0.001600","0.001586","0.001639","0.001557","1.06B","0.88%"
"04/08/2021","0.001586","0.001467","0.001586","0.001457","1.67B","8.70%"
"04/07/2021","0.001459","0.001551","0.001551","0.001330","2.81B","-5.75%"
"04/06/2021","0.001548","0.001753","0.001753","0.001429","1.76B","-11.79%"
"04/05/2021","0.001755","0.001397","0.001755","0.001394","2.59B","25.63%"
"04/04/2021","0.001397","0.001279","0.001406","0.001279","1.35B","8.92%"
