"Date","Price","Open","High","Low","Change.."
2022-03-11,"16,877.70","16,773.60","16,928.25","16,717.00","0.25%"
2022-03-14,"17,076.60","16,882.50","17,092.15","16,833.10","1.18%"
2022-03-15,"16,873.45","17,107.75","17,136.90","16,764.25","-1.19%"
2022-03-16,"17,198.00","17,086.00","17,209.50","17,052.60","1.92%"
2022-03-17,"17,505.40","17,422.35","17,553.70","17,394.25","1.79%"
2022-03-21,"17,323.65","17,550.50","17,576.50","17,306.60","-1.04%"
2022-03-22,"17,499.20","17,329.55","17,518.25","17,195.60","1.01%"
2022-03-23,"17,446.05","17,593.40","17,625.90","17,399.80","-0.30%"
2022-03-24,"17,429.95","17,305.85","17,494.15","17,301.80","-0.09%"
2022-03-25,"17,370.50","17,500.85","17,506.95","17,287.85","-0.34%"
2022-03-28,"17,422.15","17,404.80","17,434.80","17,213.80","0.30%"
2022-03-29,"17,523.60","17,500.45","17,541.25","17,438.40","0.58%"
2022-03-30,"17,684.30","17,665.60","17,718.05","17,589.15","0.92%"
2022-03-31,"17,660.35","17,710.75","17,752.55","17,627.35","-0.14%"
2022-04-01,"17,879.50","17,643.90","17,912.70","17,631.10","1.24%"
2022-04-04,"18,256.10","18,010.30","18,281.95","17,994.90","2.11%"
2022-04-05,"18,195.10","18,294.25","18,327.75","18,159.85","-0.33%"
2022-04-06,"18,075.10","18,089.30","18,154.05","18,042.85","-0.66%"
2022-04-07,"17,920.80","18,006.65","18,092.30","17,906.10","-0.85%"
2022-04-08,"18,089.30","17,993.65","18,144.35","17,906.55","0.94%"
2022-04-11,"18,032.40","18,062.45","18,114.55","17,992.95","-0.31%"
2022-04-12,"17,877.55","17,965.30","17,970.95","17,786.95","-0.86%"
2022-04-13,"17,835.20","17,956.20","18,017.30","17,816.20","-0.24%"
2022-04-18,"17,565.95","17,566.00","17,615.05","17,440.60","-1.51%"
2022-04-19,"17,330.40","17,662.55","17,687.45","17,199.50","-1.34%"
2022-04-20,"17,496.65","17,425.20","17,553.95","17,353.90","0.96%"
2022-04-21,"17,750.20","17,602.60","17,766.90","17,578.00","1.45%"
2022-04-22,"17,541.10","17,610.30","17,678.25","17,518.85","-1.18%"
2022-04-25,"17,300.35","17,373.15","17,403.90","17,236.45","-1.37%"
2022-04-26,"17,577.80","17,472.10","17,600.45","17,429.85","1.60%"
2022-04-27,"17,398.55","17,453.55","17,484.15","17,321.10","-1.02%"
2022-04-28,"17,615.40","17,557.60","17,687.50","17,429.20","1.25%"
2022-04-29,"17,457.20","17,703.10","17,741.40","17,404.90","-0.90%"
2022-05-02,"17,419.45","17,286.65","17,439.90","17,269.85","-0.22%"
2022-05-04,"17,004.05","17,451.15","17,483.80","16,944.55","-2.38%"
2022-05-05,"17,016.60","17,186.35","17,270.60","16,978.65","0.07%"
2022-05-06,"16,729.55","16,740.10","16,807.10","16,654.25","-1.69%"
2022-05-09,"16,581.80","16,549.25","16,694.60","16,441.40","-0.88%"
2022-05-10,"16,466.25","16,533.40","16,653.85","16,426.90","-0.70%"
2022-05-11,"16,399.70","16,502.45","16,576.40","16,204.25","-0.40%"
2022-05-12,"16,023.90","16,263.20","16,281.05","15,946.15","-2.29%"
2022-05-13,"15,986.50","16,200.60","16,315.00","15,941.10","-0.23%"
2022-05-16,"16,079.00","16,062.65","16,199.25","15,946.80","0.58%"
2022-05-17,"16,498.50","16,166.00","16,522.65","16,152.50","2.61%"
2022-05-18,"16,485.80","16,566.70","16,655.45","16,461.60","-0.08%"
2022-05-19,"16,047.35","16,146.70","16,213.10","16,015.30","-2.66%"
2022-05-20,"16,476.70","16,290.20","16,491.10","16,253.55","2.68%"
2022-05-23,"16,409.75","16,504.60","16,612.15","16,382.10","-0.41%"
2022-05-24,"16,312.30","16,428.60","16,460.00","16,262.35","-0.59%"
2022-05-25,"16,187.15","16,384.30","16,409.30","16,167.50","-0.77%"
2022-05-26,"16,341.90","16,267.60","16,382.85","16,046.55","0.96%"
2022-05-27,"16,516.80","16,473.30","16,534.55","16,388.70","1.07%"
2022-05-30,"16,838.15","16,692.20","16,860.40","16,672.60","1.95%"
2022-05-31,"16,767.50","16,761.55","16,883.60","16,702.45","-0.42%"
2022-06-01,"16,688.95","16,772.05","16,831.20","16,601.85","-0.47%"
2022-06-02,"16,794.75","16,650.25","16,810.55","16,613.65","0.63%"
2022-06-03,"16,721.50","16,928.45","16,953.65","16,705.75","-0.44%"
2022-06-06,"16,701.20","16,671.30","16,741.20","16,565.50","-0.12%"
2022-06-07,"16,550.70","16,602.10","16,619.05","16,489.15","-0.90%"
2022-06-08,"16,492.20","16,610.75","16,649.75","16,425.80","-0.35%"
2022-06-09,"16,616.40","16,402.50","16,631.15","16,374.45","0.75%"
2022-06-10,"16,353.50","16,426.30","16,465.30","16,322.55","-1.58%"
2022-06-13,"15,936.05","16,033.65","16,044.50","15,850.85","-2.55%"
2022-06-14,"15,905.60","15,848.95","16,034.55","15,822.60","-0.19%"
2022-06-15,"15,874.90","15,918.10","15,966.00","15,858.35","-0.19%"
2022-06-16,"15,543.35","16,021.85","16,046.05","15,518.00","-2.09%"
2022-06-17,"15,445.80","15,452.80","15,575.95","15,344.55","-0.63%"
2022-06-20,"15,481.95","15,489.50","15,517.80","15,336.05","0.23%"
2022-06-21,"15,793.15","15,593.40","15,845.45","15,558.70","2.01%"
2022-06-22,"15,555.30","15,702.45","15,718.35","15,528.55","-1.51%"
2022-06-23,"15,704.80","15,594.80","15,775.80","15,515.80","0.96%"
2022-06-24,"15,858.30","15,809.60","15,895.30","15,773.65","0.98%"
2022-06-27,"15,990.30","16,082.45","16,086.95","15,974.40","0.83%"
2022-06-28,"16,008.85","15,919.30","16,045.05","15,857.00","0.12%"
2022-06-29,"15,952.75","15,857.10","16,013.80","15,845.45","-0.35%"
2022-06-30,"15,929.40","15,933.95","16,047.75","15,881.00","-0.15%"
2022-07-01,"15,925.95","15,861.60","15,966.05","15,679.30","-0.02%"
2022-07-04,"16,018.15","15,894.70","16,033.90","15,844.65","0.58%"
2022-07-05,"16,001.60","16,093.55","16,209.30","15,973.35","-0.10%"
2022-07-06,"16,196.25","16,009.30","16,217.20","15,990.15","1.22%"
2022-07-07,"16,339.10","16,322.15","16,355.75","16,251.65","0.88%"
2022-07-08,"16,424.00","16,475.85","16,477.35","16,353.10","0.52%"
2022-07-11,"16,465.10","16,346.75","16,491.10","16,331.20","0.25%"
2022-07-12,"16,323.50","16,380.15","16,421.95","16,293.80","-0.86%"
2022-07-13,"16,237.25","16,396.95","16,411.55","16,220.15","-0.53%"
